,address,title,date,content,Categories,topic
0,https://saudiembassy.net/press-release/annual-global-walk-raise-big-cat-conservation-awareness-taking-place-sat-november-5,"ANNUAL GLOBAL WALK TO  RAISE BIG CAT CONSERVATION AWARENESS TAKING PLACE ON  SAT NOVEMBER 5, 2022","November 1, 2022","Catwalk for Collective Wellbeing[Washington--November, 2022] ?Äì Building on the success of the 2021 Catwalk, in which over 27,000 people participated,??Catmosphere??is??launching??the second??Catwalk, to take place on Saturday November 5th, 2022.Founded in 2021 by HRH Princess Reema Bandar Al-Saud, Catmosphere is a foundation that uses the stories of the 7 Big Cat, and their conservation challenges, to encourage us all to take action to address our collective wellbeing. Catmosphere?Äôs initiatives aim to fuse the concepts of health and conservation to straddle sectors, audiences and partnerships in uniquely impactful ways.In 2021, Catmosphere foundation launched a flagship, mass-participation campaign called CATWALK. Catwalk invites participants to get active in nature as a way of underlining the critical need that Big Cats have for their natural habitats, while simultaneously triggering appreciation of the physical and mental benefits of outdoor physical activity. By focusing on how self-care and caring for nature are intrinsically linked, Catwalk strives to demonstrate how ALL OUR WELLBEING IS INTERCONNECTED.??Catwalk 2021 saw over 27,000 people in 102 countries collectively walking over 150,000km in support of Big Cat Conservation and Wellbeing. They demonstrated a communal commitment to our common interests.??Building on this success, in 2022 Catwalk invites everyone to CATWALK FOR COLLECTIVE WELLBEING on Saturday 5 November.??Participants can Catwalk in two ways:
	Catwalk:
	Catwalk Cubs:??
	
Catmosphere's efforts are supported by partners that include the International Olympic Committee,??Special Olympics,??TAFISA, and Peace and Sport, as well as Google. According to the World Health??Organization, an estimated 24% of all global human deaths are attributable to environmental factors, while a quarter of the world?Äôs population are at health risks from not doing sufficient exercise in our increasingly sedentary society. Big Cats are even more dependent on their environments. They are all threatened by habitat loss, and the Tiger, Lion, Leopard and Cheetah have disappeared from between 65% and 96% (source: Panthera.org) of their historic range.Catmosphere?Äôs Founder Ambassador Reema Bandar Al-Saud says:???ÄúThe multitude of challenges we face globally are making it increasingly apparent that the wellbeing of humanity, wildlife, and the environments on which we depend are all intrinsically intertwined. Catmosphere was founded to highlight these interdependencies, helping to raise awareness for the plight of the Big Cats and demonstrate how all of our wellbeing is interconnected. We amplify aspects of the concept of One Health, advocated by multiple UN agencies, whose message we wholeheartedly support.We were thrilled that the inaugural Catwalk in 2021 received such overwhelming support, showing a huge appetite for our message and support for action to conserve the iconic Big Cats throughout the world. In 2022 we are building on this success, with the public increasingly engaged post-pandemic and with the ever more apparent effects of climate change highlighting the urgency of the situation. The international profile of Catwalk, supported by inspirational and like-minded partners, is the epitome of our central message that, through collaboration, benefits can be achieved for individuals and the collective.About CatmosphereFounded in 2021 by HRH Princess Reema Bandar Al-Saud, Catmosphere is a foundation that uses the stories of the 7 Big Cats (Leopard, Lion, Cheetah, Jaguar, Tiger, Puma, Snow Leopard, with a special focus on the Arabian Leopard), and their conservation challenges to encourage us all to take action to address our collective wellbeing. Catmosphere?Äôs initiatives aim to fuse the concepts of health and conservation to straddle sectors, audiences and??partnerships in uniquely impactful ways.Catmosphere?Äôs awareness-raising campaign, Catwalk, is positioned to amplify the joint work of the Royal Commission of AlUla (RCU) and Panthera in securing a future for the Critically Endangered Arabian Leopard in its native habitat.??The Royal Commission for AlUla (RCU) was established to protect and safeguard AlUla, a region of outstanding natural and cultural significance in North-West Saudi Arabia. RCU, which is regenerating a 22,561km2 area as a global destination for natural and cultural heritage, recognized the urgent need to conserve the Critically Endangered Arabian Leopard, by establishing a variety of initiatives. RCU partnered with world-leading wild cat conservation charity, Panthera, to secure a future for the Arabian Leopard in its native habitat. RCU has also committed USD 25 million to the Arabian Leopard Fund, an independent organization created to implement conservation projects across the Leopard?Äôs home range. RCU has designated five nature reserves covering 12,500km2 and will be working with leading experts including Panthera and the International Union for Conservation of Nature (IUCN) to activate, conserve and safeguard these protected areas with a vision that Leopards might someday roam free again.Panthera is the only organization globally that is devoted exclusively to the conservation of the world?Äôs 40 wild cat species and their ecosystems. Utilizing the expertise of the world?Äôs premier cat biologists, Panthera develops and implements strategies to study and protect cheetahs, jaguars, leopards, lions, pumas, snow leopards and tigers,??alongside the 33 small cat species, and their vast landscapes.",Press Releases,Not-defined
1,https://saudiembassy.net/news/saudi-arabia-ranks-top-reformer-world-bank%E2%80%99s-women-business-and-law-2020-report,"Saudi Arabia Ranks as Top Reformer in World Bank?Äôs Women, Business and Law 2020 Report","January 15, 2020","Saudi Arabia was the top reformer and improver among 190 economies in the World Bank?Äôs Women, Business and the Law 2020 report, achieving a score of 70.6 out of 100.The report places the Kingdom first among Gulf Cooperation Council countries and second in the Arab world.Saudi Arabia has made outstanding improvements in six out of eight indicators measured by the report: mobility, workplace, marriage, parenthood, entrepreneurship and pension.Along with other leading economies, the Kingdom is a global benchmark in four areas of reform: women?Äôs mobility, workplace, entrepreneurship and pension.
Thanks to a bold set of 12 legislative reforms that it has implemented, Saudi Arabia has significantly transformed the lives of women by enhancing their economic participation and strengthened the Kingdom?Äôs global competitiveness.Issam Abu Sulaiman, the World Bank?Äôs Regional Director for GCC, lauded the Kingdom?Äôs achievement: ?ÄúSaudi Arabia basically has become one of the leaders in the Arab World in terms of women empowerment.?Äù?ÄúWe expect that this will contribute tremendously to the realization of Vision 2030 when it comes to economic growth, diversification and women employment,?Äù he added, according to the Saudi Press Agency.The package of legislative reforms include: expanding women?Äôs access to employment opportunities in new sectors of the economy, lifting restrictions on their mobility, ensuring their access to public services, guaranteeing equal pay and retirement benefits and protecting them against harassment and discrimination.The Kingdom?Äôs new global standing, as pointed out by the World Bank report, is testimony to its leadership?Äôs commitment to expanding economic opportunities to all citizens, notably women and youth, as outlined in Vision 2030.",Press Releases,Not-defined
2,https://saudiembassy.net/news/saudi-state-security-arrest-wanted-terrorist,Saudi State Security Arrest Wanted Terrorist,"January 8, 2020","The official spokesman for the Saudi Presidency of State Security announced that it located today a terrorist hideout in Albahari neibourhood in AlQatif Governorate in the Eastern Province. The hideout sheltered a wanted individual involved in numerous terrorist crimes.Mohammed Hussein Ali Al Ammar, was declared a wanted terrorist in a statement issued on October 30, 2016, that listed nine individuals who have engaged in targeting citizens, residents, security officers, security, and economic facilities.After calls to surrender himself, Al Ammar opened fire on security officers, who dealt with him according to the situation and arrested him without any harm to the residents, bystanders, and security officers.In his possession were different weapons including:
1. (1) explosive pipe.
2. (1) AK-47 machine gun.
3. (2) Glock pistols.
4. (464) live machine gun ammunition.
5. (160) live pistol ammunition.
6. (5) loaded pistol magazines.
7. (13) loaded machine gun magazines.
8. (1) knife.The Presidency of State Security renews its calls for the rest of the wanted individuals to cease hostility and surrender, it also encourages citizens, and residents, to report information on any of the wanted terrorists, or any suspected terrorist activities by calling (990).",Press Releases,Not-defined
3,https://saudiembassy.net/news/saudi-vice-minister-defense-holds-talks-us-officials,Saudi Vice Minister of Defense Holds Talks with U.S Officials,"January 7, 2020","His Royal Highness Prince Khalid bin Salman Al Saud, Vice Minister of Defense of Saudi Arabia visited Washington on Monday and held talks with senior U.S. administration officials. The Vice Minister met with President Donald J. Trump at the White House and discussed the importance of strong bilateral relations between the two nations. HRH Prince Khalid also met with Secretary of State Michael Pompeo, Secretary of Defense Mark Esper and National Security Advisor Robert O?ÄôBrien.The Vice Minister discussed the latest developments in the Middle East with his American counterparts and the joint efforts to reduce tensions and avoid escalations that could further destabilize the region in light of the Iranian regime?Äôs provocations and destabilizing activities. The Vice Minister also expressed his appreciation for the 75-year partnership between Saudi Arabia and the United States, and reiterated the Kingdom?Äôs commitment to working closely with the United States to reduce instability in the region and address the two countries?Äô shared security concerns.",Press Releases,Not-defined
4,https://saudiembassy.net/news/saudi-ambassador-visits-naval-air-station-pensacola-extend-condolences-pledge-full-cooperation,"Saudi Ambassador Visits Naval Air Station in Pensacola to Extend Condolences, Pledge Full Cooperation","December 12, 2019","Ambassador??Princess Reema bint Bandar Al Saud, the Saudi Ambassador to the United States,??visited the Naval Air Station Pensacola in Florida on Thursday to personally extend her deepest condolences for the tragedy that unfolded last week and to reinforce Saudi Arabia?Äôs full cooperation with U.S. authorities in investigating this senseless act of violence.During her visit, the Ambassador met with the command of the base and reiterated her condemnation of this horrific attack. The ambassador stressed that she would remain fully engaged on the matter and would provide any assistance possible to accelerate the investigation.",Press Releases,Not-defined
5,https://saudiembassy.net/news/phone-call-us-president-saudi-king-condemns-florida-shooting,"In Phone Call with U.S President, Saudi King Condemns Florida Shooting","December 6, 2019","The Custodian of the Two Holy Mosques King Salman bin Abdulaziz Al Saud has telephoned President Donald J. Trump of the United States of America to express his sorrow and grief over the shooting incident in Florida, which resulted in the death and injury of a number of American citizens.The King extended his sincere condolences to the President, and to the families of the victims. His Majesty wished for the speedy recovery of those injured. His Majesty affirmed that the perpetrator of this heinous crime does not represent the Saudi people, who count the American people as friends and allies.During the call, the Custodian of the Two Holy Mosques stressed the Kingdom's full support to the United States, as His Majesty directed Saudi security services to cooperate with the relevant?? American agencies to uncover information that will help determine the cause of this horrific attack",Press Releases,Not-defined
6,https://saudiembassy.net/news/saudi-arabia-passes-historic-visa-reforms-granting-international-travelers-ability-visit-saudi,Saudi Arabia Passes Historic Visa Reforms Granting International Travelers the Ability to Visit Saudi Arabia as Tourists,"September 27, 2019","<Element img at 0x1fa14e44100><Element img at 0x1fa343441c0><Element img at 0x1fa34344240>??Today on World Tourism Day, Saudi Arabia is celebrating a historic mile stone - opening the kingdom to international tourism for the first time. Starting immediately, visitors will be able to obtain one year, multiple entry visa allowing them to spend up to 90 days in the country.As Saudi Arabia's Ambassador to the United States, HRH Princess Reema Bint Bandar invites Americans and visitors from across the globe to travel to Saudi Arabia and discover the exciting changes happening inside the modern kingdom for themselves.??""Saudi Arabia is opening its doors to the world,"" HRH Ambassador Reema said. ""This step will enable the world to see the hidden wonders of KSA and help the kingdom diversify its economy. Our aim is to embrace tourism and showcase Saudi hospitality by welcoming visitors in a way that builds bridges between our two cultures""Traveling to Saudi will be an unforgettable and unique experience. In our modern digital world tourist today are looking to discover off-the-beaten-path places and authentic experiences, but they also want their trips to be seamless and technology - enhanced. Saudi Arabia offers this blend of old and new. Saudi is home to five UNESCO world heritage sites, including the largest oasis in the world. From sweeping sand dunes and stunning unspoiled archaeological treasures, to modern skyscrapers, five star luxury destinations and our partnerships with companies like Uber and Airbnb, visitors to Saudi will be surprised and delighted to discover our many treasures.Tourists from 49 countries will be able to apply for a tourist visa through and easy-to-use E-Visa platform, or through a visa on arrival upon arriving to the kingdom.??The new visa regime clearly demonstrates that the kingdom is moving forward and committed to the implementation of Vision 2030, Saudi Arabia's national transformation program to modernize and more closely connect the kingdom to the world.??For more information, please visit this website:https://www.visitsaudi.com/en/about-evisa.html??",Press Releases,Not-defined
7,https://saudiembassy.net/news/saudi-arabia-issues-sweeping-changes-enhance-role-women-society,Saudi Arabia Issues Sweeping Changes to Enhance Role of Women in Society,"August 2, 2019","The Kingdom of Saudi Arabia has announced a series of sweeping legal changes to enhance the role of women in society, including an end to restrictions on travel and far-reaching labor provisions that guarantee women equal pay in the workplace and protection against dismissal during pregnancy.
The new travel documents law will go into effect by the end of August. Under its provisions, women will be able to apply for their passports independently in the same manner that men apply. The new law builds on a number of recent reforms under Vision 2030 that have transformed the country, including a series of changes specifically designed to advance the status of women.??
Beyond travel documents, the Kingdom has also lifted restrictions on the mobility of women, granting them the right to independently open and run a business. The amendments build on the recently enacted law that protects women from harassment in public spaces, and expand their opportunities to occupy senior government positions.????
To secure equality for women in the labor market, Saudi Arabia has put in place new protections against discrimination in the workplace, covering the periods of recruitment, employment and the setting of wages. The protections extend so that women cannot be dismissed during pregnancy.
As part of the transformative agenda of Vision 2030, Saudi Arabia is committed to helping women reach their full potential. The knowledge, skills and capabilities of Saudi Arabia?Äôs women are among the greatest assets of the country, and the government is committed to putting women at the center of the social and economic transformation taking place under Vision 2030. ??",Press Releases,Not-defined
8,https://saudiembassy.net/news/hrh-ambassador-reema-bint-bandar-meets-president-trump-white-house-presents-credentials,"HRH Ambassador Reema bint Bandar Meets President Trump at White House, Presents Credentials ","July 9, 2019","Yesterday, Her Royal Highness Princess Reema bint Bandar bin Sultan bin Abdulaziz Al-Saud met with U.S. President Donald J. Trump at the White House to present her credentials as the new Ambassador of the Kingdom of Saudi Arabia to the United States.
During the ceremony, Princess Reema conveyed the greetings and best wishes of the Custodian of the Two Holy Mosques King Salman, and His Royal Highness Crown Prince Mohammed bin Salman, to President Trump and the American people.
In prepared remarks, HRH the Ambassador said, ?ÄúAs I assume this tremendous responsibility, I look forward to working with your administration to advance the strategic relationship and deep friendship between our two countries and peoples. For more than eight decades, this historic relationship has greatly contributed to the security, peace, and prosperity of our peoples and the world.?Äù
Her Royal Highness reaffirmed her commitment to strengthen the alliance, and expressed confidence that the two countries are capable of overcoming any challenges at the regional or global levels.
Ambassador Reema is the first woman to be appointed to the position by the Kingdom.?? Her father, Prince Bandar bin Sultan, was named Ambassador in 1984, a position he held until May 2005.?Äã",Press Releases,Not-defined
9,https://saudiembassy.net/news/princess-reema-bint-bandar-arrives-washington-dc-begin-assignment-saudi-ambassador-us,"Princess Reema bint Bandar Arrives in Washington, DC to Begin Assignment as Saudi Ambassador to the U.S.","July 3, 2019","Her Royal Highness Princess Reema bint Bandar Al Saud has arrived in Washington, DC to begin her assignment as the Ambassador of the Kingdom of Saudi Arabia to the United States.?ÄúPrincess Reema will immediately begin her mission to strengthen the historic partnership between Saudi Arabia and the United States,?Äù said Fahad Nazer, embassy spokesperson. ?ÄúThe Ambassador will bring a fresh perspective on a rapidly changing Saudi Arabia to Washington, continuing to build on key areas of cooperation between our two countries.?Äù??Princess Reema presented a copy of her credentials today to the State Department. She is the 11th Ambassador of the Kingdom of Saudi Arabia to the United States of America since 1945, and the first Saudi woman to hold the post.Princess Reema previously served as the Deputy of Planning and Development for the Saudi General Sports Authority and as the Authority?Äôs Vice President of Women?Äôs Affairs. In these roles, she developed policies and programs to benefit women and children throughout Saudi Arabia. She also served as President of the Mass Participation Federation and was the first woman to lead a multi-sports federation in the Kingdom.Princess Reema has dedicated her career to bettering the lives of Saudi women. Before entering the public service, she focused in the private sector on creating opportunities for women in the workplace. Among her initiatives was the establishment of the Kingdom?Äôs first onsite nursery in a retail venue for employees.Princess Reema also is a founding member of the Zahra Breast Cancer Awareness Association and Alf Khair, a social enterprise aimed at elevating the professional capital of Saudi women. She advocates for financial literacy through her role as a member of the World Bank?Äôs advisory council for the Women Entrepreneurs Finance Initiative.For Princess Reema, the appointment as ambassador returns her to a city she called home for more than two decades. From 1983 to 2005, Princess Reema lived in Washington while her father, Prince Bandar bin Sultan Al Saud, served as Saudi Ambassador to the United States. She attended George Washington University, graduating with a Bachelor of Arts in Museum Studies.",Press Releases,Not-defined
